Date,barbell squat,bench press,calf raise,dips,leg press,preacher curl,pull up,seated chest fly,t-bar row,wrist curls
2025-06-02,228.33333333333334,,,,295.0,,,,,
2025-06-09,,137.5,,0.0,,,,120.0,,
2025-06-16,,139.44444444444446,,0.0,,18.125,,168.33333333333334,88.75,18.75
2025-06-23,158.33333333333334,,185.0,,185.0,,,,,
2025-06-30,,163.63636363636363,,0.0,,18.88888888888889,,159.28571428571428,,18.75
2025-07-14,245.0,,,,230.0,,,,,
2025-07-21,171.0,136.875,390.0,0.0,344.0,22.5,,170.0,123.75,24.375
2025-07-28,,170.0,,0.0,,,,170.0,,
2025-08-04,161.36363636363637,155.0,245.0,0.0,,20.625,,186.25,140.71428571428572,23.75
2025-08-11,,158.0,,0.0,,19.0,0.0,178.0,133.0,23.125
