Date,lat pulldown,leg curls,leg extension,lever seated row,rotary trunk twists
2025-06-02,,6.5,,,
2025-06-09,,,,8.666666666666666,
2025-06-16,10.666666666666666,,,16.166666666666668,
2025-06-23,,8.428571428571429,11.666666666666666,,
2025-06-30,10.88888888888889,9.0,,14.555555555555555,8.0
2025-07-14,,9.9,11.0,,8.25
2025-07-21,11.571428571428571,9.833333333333334,13.11111111111111,15.625,10.0
2025-07-28,11.857142857142858,,,16.4,10.0
2025-08-04,11.88888888888889,8.625,13.363636363636363,15.428571428571429,7.0
2025-08-11,,,,14.5,6.0
